1,45,47,34,25,43
17,15,33,6,31,11
29,37,22,26,39,6
6,41,18,17,9,48
16,29,23,44,27,37
11,47,31,32,49,39
17,29,11,32,43,37
9,18,47,6,14,34
5,40,4,43,46,9
5,24,32,44,1,10
47,23,20,32,18,43
45,33,1,14,2,31
34,6,17,7,42,37
47,35,41,2,18,22
7,5,40,32,1,37
47,44,30,3,36,31
49,17,1,40,8,36
16,43,34,47,31,12
5,22,2,32,29,10
7,28,30,46,41,4
43,17,23,9,26,30
11,8,33,12,20,46
1,36,7,12,3,38
26,45,16,28,24,38
12,8,11,46,49,24
6,5,8,4,21,15
15,7,33,20,29,5
20,48,39,40,45,22
34,27,32,11,6,17
14,23,44,16,17,35
43,12,30,40,5,27
30,34,9,35,25,4
33,9,45,3,10,29
6,1,37,39,4,33
25,24,14,20,7,19
37,19,7,3,48,41
35,47,34,33,10,19
42,15,24,45,33,29
37,21,45,23,9,7
41,30,46,26,36,28
32,15,30,14,17,21
49,20,33,21,18,14
12,40,27,37,28,21
39,28,27,16,40,9
16,2,9,12,41,22
25,16,41,18,7,12
20,17,29,40,33,10
46,38,45,40,11,10
23,2,32,18,13,10
3,8,20,24,14,30
24,17,16,7,44,31
29,16,27,36,39,46
21,42,37,24,33,31
30,26,13,44,46,7
24,37,10,8,21,48
11,14,18,43,19,38
49,7,38,22,23,8
13,7,32,22,5,4
28,40,25,29,9,27
7,40,47,5,26,10
17,47,41,15,13,33
34,9,35,28,31,12
33,34,8,2,5,40
4,32,45,40,22,35
9,19,1,26,14,31
19,38,42,34,14,44
2,27,35,5,3,40
8,34,45,14,20,13
7,29,33,18,37,25
25,23,16,27,29,44
6,34,11,26,45,10
25,11,42,18,47,9
12,33,41,34,2,29
12,17,24,37,9,5
25,35,20,32,21,27
30,3,23,5,2,13
7,21,28,45,34,13
17,10,16,7,47,40
45,49,33,29,21,16
29,38,10,23,5,20
21,2,26,34,18,8
41,47,27,34,6,23
46,29,37,42,26,43
39,5,45,31,34,47
33,1,47,46,16,44
42,30,5,49,10,31
16,17,9,31,29,44
4,29,2,42,21,10
31,36,38,30,5,28
18,26,39,46,47,25
28,15,44,41,34,22
4,19,12,28,18,33
13,42,36,31,25,28
4,23,41,2,1,38
32,25,45,2,47,4
48,32,25,2,14,38
42,38,13,9,34,37
11,20,3,33,34,23
45,22,36,20,13,41
44,9,26,22,47,5
24,35,47,32,42,34
34,27,23,26,32,11
10,33,32,12,3,19
12,20,8,49,27,7
46,39,40,29,36,19
3,25,39,6,47,40
29,28,46,16,37,12
22,5,21,8,26,38
19,6,26,9,47,42
2,19,25,28,10,35
17,49,44,22,29,33
22,7,26,48,12,43
19,37,20,44,28,1
18,49,34,3,26,47
26,21,19,13,8,16
17,31,2,29,44,28
11,37,22,3,13,12
28,20,14,44,9,39
20,16,14,6,24,1
36,7,15,39,19,42
23,31,32,36,8,1
20,16,47,48,45,24
45,27,11,6,19,43
4,22,19,13,9,48
8,3,44,33,46,11
38,3,42,26,24,41
2,38,48,8,40,1
30,15,38,6,43,40
3,18,28,34,37,13
49,12,35,44,13,16
19,31,29,44,21,30
4,25,24,17,45,42
12,37,9,29,8,26
25,3,23,45,6,5
16,10,2,44,36,30
42,46,6,2,29,9
43,44,16,17,24,1
31,25,10,9,5,35
16,7,19,8,45,37
19,32,25,12,28,38
